rank,scripts_file_count,repo,mainLanguage,stars,forks,commits,contributors
1,834,snakeying/Textum,Python,41,4,103.0,1.0
2,816,yonatangross/orchestkit,TypeScript,117,13,339.0,2.0
3,586,eggent-ai/eggent,TypeScript,219,42,36.0,1.0
4,570,definableai/definable.ai,Python,20,2,177.0,2.0
5,454,CraftOS-dev/CraftBot,Python,55,5,494.0,4.0
6,416,xuey490/project,PHP,12,0,773.0,1.0
7,414,proffesor-for-testing/agentic-qe,TypeScript,250,48,1153.0,7.0
8,402,hainamchung/agent-assistant,Python,36,14,13.0,1.0
9,400,openakita/openakita,Python,1219,150,1312.0,7.0
10,382,UnicomAI/wanwu,Go,3959,79,3767.0,53.0
11,372,datascienceworld-kan/vinagent,Python,71,11,186.0,4.0
12,370,kv0906/pm-kit,Python,68,16,102.0,1.0
13,370,rvdbreemen/OTGW-firmware,C++,176,39,2407.0,20.0
14,358,eigent-ai/eigent,TypeScript,12993,1494,2151.0,63.0
15,354,GCWing/BitFun,TypeScript,451,47,305.0,11.0
16,352,codemo1991/nanobot-webui,Python,21,7,59.0,2.0
17,352,ginlix-ai/LangAlpha,Python,52,7,699.0,7.0
18,348,LdotJdot/OpenLum,JavaScript,26,5,8.0,1.0
19,348,agentscope-ai/CoPaw,Python,11481,1363,292.0,74.0
20,346,kyopark2014/strands-agent,Python,28,6,198.0,1.0
21,327,bytedance/agentkit-samples,Python,247,46,453.0,28.0
22,300,cyberfabric/cyber-pilot,Python,29,10,367.0,7.0
23,282,nucliweb/webperf-snippets,JavaScript,1417,79,332.0,17.0
24,261,kriegcloud/beep-effect,TypeScript,46,5,7803.0,728.0
25,250,ancoleman/ai-design-components,Python,310,48,81.0,2.0
26,240,yezannnnn/agentGroup,Python,53,17,13.0,1.0
27,192,smallnest/langgraphgo,Go,209,34,328.0,10.0
28,188,vobase/vobase,TypeScript,25,3,285.0,3.0
29,171,mikeOnBreeze/cc-crossbeam,Python,145,53,69.0,1.0
30,168,Deepractice/AgentX,TypeScript,82,9,809.0,20.0
31,168,kivo360/OmoiOS,Python,37,4,701.0,5.0
32,168,sunholo-data/ailang,Go,22,2,2060.0,6.0
33,164,jiahao-jayden/vibe-any-tanstack,TypeScript,50,14,128.0,2.0
34,160,marian2js/opengoat,TypeScript,285,31,573.0,2.0
35,153,OthmanAdi/planning-with-files,Python,16064,1476,155.0,22.0
36,147,krafton-ai/KIRA,Python,712,97,121.0,9.0
37,144,OpenCoworkAI/open-cowork,TypeScript,634,64,316.0,11.0
38,144,laborany/laborany,TypeScript,50,4,244.0,5.0
39,137,vibeforge1111/vibeship-spark-intelligence,Python,114,31,984.0,7.0
40,136,okwinds/miscellany,Python,39,2,50.0,3.0
41,135,HAI3org/HAI3,TypeScript,27,33,676.0,18.0
42,134,williamzujkowski/standards,Python,13,0,176.0,2.0
43,130,netease-youdao/LobsterAI,TypeScript,3938,453,370.0,18.0
44,126,kyopark2014/mcp,Python,40,8,850.0,1.0
45,120,zylos-ai/zylos-core,JavaScript,735,67,367.0,9.0
46,117,ImGoodBai/goodable,TypeScript,161,34,130.0,3.0
47,114,onyx-dot-app/onyx-foss,Python,242,48,6781.0,183.0
48,108,laraxot/laravelpizza.com,PHP,26,22,505.0,2.0
49,108,outfitter-dev/agents,TypeScript,25,0,107.0,2.0
50,105,Heyvhuang/ship-faster,TypeScript,319,54,81.0,3.0
51,104,inboundemail/inbound,TypeScript,334,42,809.0,10.0
52,98,0xAxiom/AppFactory,TypeScript,127,23,156.0,5.0
53,96,bifrost-proxy/bifrost,Rust,12,0,394.0,3.0
54,96,snyk/agent-scan,Python,1873,186,376.0,11.0
55,94,mehdic/bazinga,Python,19,0,566.0,3.0
56,93,initializ/forge,Go,10,1,104.0,2.0
57,90,senweaver/senweaver-ide,TypeScript,15,0,63.0,4.0
58,84,gvkhosla/compound-engineering-pi,TypeScript,35,2,18.0,1.0
59,82,sfc-gh-dflippo/snowflake-dbt-demo,Python,31,8,301.0,2.0
60,81,pacphi/sindri,Rust,11,6,386.0,3.0
61,80,a5c-ai/babysitter,JavaScript,441,24,1028.0,10.0
62,74,AIDotNet/MoYuCode,TypeScript,74,15,62.0,1.0
63,74,eddiebelaval/squire,Python,14,3,13.0,1.0
64,74,hAcKlyc/MyAgents,TypeScript,112,21,882.0,2.0
65,72,iOfficeAI/AionUi,TypeScript,18771,1469,2966.0,57.0
66,72,peterfei/ai-agent-team,JavaScript,291,36,51.0,1.0
67,70,Yangchengshuai/Aerotri-Web,JavaScript,15,5,91.0,3.0
68,70,adoresever/AGI_Ananas,TypeScript,148,21,37.0,4.0
69,69,6BNBN/FlowPilot,TypeScript,101,7,169.0,1.0
70,68,codexstar69/bug-hunter,JavaScript,95,1,58.0,1.0
71,68,countbot-ai/CountBot,Python,208,35,82.0,3.0
72,66,AIDotNet/OpenCowork,TypeScript,165,36,160.0,3.0
73,66,openteams-lab/openteams,Rust,73,5,1781.0,53.0
74,64,AizenvoltPrime/damocles,TypeScript,46,3,253.0,1.0
75,64,ArcaneOrion/Alice-Single,Python,13,2,75.0,1.0
76,64,MiniMax-AI/Mini-Agent,Python,1844,278,54.0,12.0
77,64,Mulily0513/Omni,Python,15,1,2.0,1.0
78,64,Xerus-ai/openwork,TypeScript,31,1,41.0,4.0
79,64,undsky/RuoYi-SpringBoot3-Pro,Java,133,49,66.0,1.0
80,63,jmagly/aiwg,TypeScript,97,14,648.0,4.0
81,63,yazelin/ching-tech-os,Python,22,8,639.0,4.0
82,62,ThinkInAIXYZ/deepchat,TypeScript,5583,641,2686.0,61.0
83,60,bgauryy/octocode-mcp,TypeScript,751,59,373.0,6.0
84,60,mitsuhiko/agent-stuff,TypeScript,1595,105,202.0,4.0
85,60,spring-ai-community/spring-ai-agent-utils,Java,189,37,100.0,3.0
86,56,byteowlz/oqto,Rust,34,2,481.0,1.0
87,54,Fu-Jie/openwebui-extensions,Python,112,9,802.0,6.0
88,54,malue-ai/dazee-small,Python,30,0,193.0,9.0
89,54,sunflowermm/XRK-AGT,JavaScript,88,6,619.0,1.0
90,54,udecode/better-convex,TypeScript,379,28,393.0,9.0
91,52,zhu1090093659/CodeConductor,TypeScript,70,3,120.0,2.0
92,51,j5ik2o/oni-comb-rs,Rust,42,0,4288.0,5.0
93,50,vasilyu1983/AI-Agents-public,Python,41,9,26.0,1.0
94,48,aklofas/kicad-happy,Python,51,5,15.0,2.0
95,48,axiomhq/gilfoyle,TypeScript,196,10,175.0,5.0
96,48,bitsoex/bitso-java,JavaScript,36,30,414.0,17.0
97,48,matteocervelli/llms,Python,20,2,26.0,1.0
98,48,s-hiraoku/vscode-sidebar-terminal,TypeScript,12,7,1657.0,6.0
99,46,tercumantanumut/selene,TypeScript,146,28,1032.0,2.0
100,44,Taoidle/plan-cascade,Rust,95,6,579.0,11.0
101,44,aicodingstack/aicodingstack.io,TypeScript,28,7,438.0,3.0
102,44,astronomer/agents,Python,281,27,228.0,14.0
103,44,dp-archive/archive,Python,1111,97,195.0,2.0
104,43,AgentConnect/awiki-agent-id-message,Python,10,2,111.0,2.0
105,42,Chen-zexi/open-ptc-agent,Python,693,80,44.0,1.0
106,42,Flexasaurusrex/OpenPaw,TypeScript,12,0,14274.0,800.0
107,42,HoangTheQuyen/think-better,Python,58,11,43.0,4.0
108,42,XiaoMi/mone,Java,1149,179,4361.0,55.0
109,42,aitytech/agentkits-marketing,Python,374,44,69.0,4.0
110,42,gqy20/IssueLab,Python,10,6,438.0,7.0
111,42,hannesill/m4,Python,23,10,378.0,11.0
112,42,jd-opensource/JoySafeter,Python,176,35,219.0,5.0
113,42,poteto/noodle,Go,119,6,1396.0,2.0
114,42,thetahealth/mirobody,Python,973,183,54.0,9.0
115,42,tomascupr/sandstorm,Python,426,40,70.0,5.0
116,40,ArvorCo/Relentless,TypeScript,86,5,243.0,3.0
117,40,bytedance/deer-flow,Python,30569,3694,1608.0,124.0
118,40,merylldindin/helix,Python,13,0,1252.0,3.0
119,40,sammcj/agentic-coding,Python,108,18,370.0,3.0
120,39,j5ik2o/okite-ai,Python,73,2,248.0,2.0
121,38,Alenryuichi/openmemory-plus,TypeScript,17,1,70.0,1.0
122,38,mono/SkiaSharp,C#,5297,616,3306.0,101.0
123,38,openshift-eng/ai-helpers,Python,52,214,836.0,88.0
124,38,sjtu-sai-agents/EvoMaster,Python,27,14,95.0,7.0
125,36,Qredence/agentic-fleet,Python,92,10,780.0,9.0
126,36,ace-step/ACE-Step-1.5,Python,7861,887,1009.0,53.0
127,36,adelpro/quran-search-engine,Python,19,37,26.0,1.0
128,36,coltonbatts/VCR,Rust,21,0,148.0,1.0
129,36,four-meme-community/four-meme-ai,JavaScript,11,5,8.0,1.0
130,36,jayasuryajsk/codex-kaioken,Rust,32,2,2248.0,248.0
131,36,kipeum86/contract-review-agent,Python,10,1,31.0,4.0
132,36,sd0xdev/sd0x-dev-flow,JavaScript,86,12,174.0,1.0
133,36,soimy/atlasify,Python,35,5,103.0,3.0
134,36,vurakit/agentup,Python,55,15,10.0,1.0
135,35,AytuncYildizli/reprompter,JavaScript,19,3,76.0,4.0
136,34,gannonh/kata-orchestrator,JavaScript,105,3,1855.0,2.0
137,34,kaivyy/kabot,Python,21,6,343.0,4.0
138,34,kasperjunge/agent-resources,Python,409,35,386.0,5.0
