month,found,total,prevalence_pct
2008-03,0.0,3,0.0
2008-06,0.0,1,0.0
2008-07,0.0,2,0.0
2008-08,0.0,2,0.0
2008-09,0.0,2,0.0
2008-10,0.0,3,0.0
2008-11,0.0,1,0.0
2008-12,0.0,8,0.0
2009-01,0.0,5,0.0
2009-02,0.0,4,0.0
2009-03,0.0,8,0.0
2009-04,0.0,8,0.0
2009-05,1.0,35,2.857142857142857
2009-06,0.0,8,0.0
2009-07,1.0,8,12.5
2009-08,0.0,9,0.0
2009-09,0.0,27,0.0
2009-10,0.0,12,0.0
2009-11,0.0,9,0.0
2009-12,0.0,22,0.0
2010-01,0.0,14,0.0
2010-02,0.0,28,0.0
2010-03,0.0,16,0.0
2010-04,0.0,23,0.0
2010-05,0.0,30,0.0
2010-06,1.0,27,3.7037037037037037
2010-07,0.0,32,0.0
2010-08,0.0,30,0.0
2010-09,0.0,38,0.0
2010-10,1.0,39,2.5641025641025643
2010-11,0.0,39,0.0
2010-12,1.0,32,3.125
2011-01,0.0,53,0.0
2011-02,0.0,71,0.0
2011-03,0.0,52,0.0
2011-04,0.0,55,0.0
2011-05,0.0,47,0.0
2011-06,2.0,67,2.985074626865672
2011-07,0.0,63,0.0
2011-08,0.0,49,0.0
2011-09,1.0,64,1.5625
2011-10,0.0,70,0.0
2011-11,0.0,88,0.0
2011-12,3.0,62,4.838709677419355
2012-01,0.0,70,0.0
2012-02,1.0,94,1.0638297872340425
2012-03,0.0,95,0.0
2012-04,1.0,100,1.0
2012-05,2.0,105,1.9047619047619047
2012-06,1.0,92,1.0869565217391304
2012-07,1.0,90,1.1111111111111112
2012-08,0.0,109,0.0
2012-09,0.0,124,0.0
2012-10,0.0,114,0.0
2012-11,0.0,122,0.0
2012-12,0.0,116,0.0
2013-01,0.0,146,0.0
2013-02,1.0,174,0.5747126436781609
2013-03,2.0,155,1.2903225806451613
2013-04,3.0,138,2.1739130434782608
2013-05,2.0,182,1.098901098901099
2013-06,2.0,167,1.1976047904191616
