rank,assets_file_count,repo,mainLanguage,stars,forks,commits,contributors
1,4052,coltonbatts/VCR,Rust,21,0,148.0,1.0
2,932,vasilyu1983/AI-Agents-public,Python,41,9,26.0,1.0
3,232,Knuckles-Team/servicenow-api,Python,16,2,500.0,5.0
4,198,yonatangross/orchestkit,TypeScript,117,13,339.0,2.0
5,130,treefarmstudio/sapling,TypeScript,36,0,281.0,1.0
6,114,NASA-AMMOS/slim,JavaScript,31,14,845.0,12.0
7,99,giuseppe-trisciuoglio/developer-kit,Python,161,11,380.0,3.0
8,94,ancoleman/ai-design-components,Python,310,48,81.0,2.0
9,74,LazyAGI/LazyLLM,Python,3747,364,934.0,43.0
10,63,gtmagents/gtm-agents,Python,115,17,18.0,2.0
11,63,tonylofgren/aurora-smart-home,Python,27,0,48.0,1.0
12,60,gqy20/IssueLab,Python,10,6,438.0,7.0
13,60,laborany/laborany,TypeScript,50,4,244.0,5.0
14,60,prowler-cloud/prowler,Python,13314,2040,7879.0,367.0
15,57,maestromaximo/codex-local-sdk-python,Python,13,1,20.0,1.0
16,48,a5c-ai/babysitter,JavaScript,441,24,1028.0,10.0
17,48,laraxot/laravelpizza.com,PHP,26,22,505.0,2.0
18,42,yezannnnn/agentGroup,Python,53,17,13.0,1.0
19,38,bionic-gpt/daisy-rsx,Rust,191,19,247.0,4.0
20,36,gvkhosla/compound-engineering-pi,TypeScript,35,2,18.0,1.0
21,32,danicat/godoctor,Go,60,7,98.0,3.0
22,32,thapaliyabikendra/ai-artifacts,Python,15,4,41.0,5.0
23,30,6BNBN/FlowPilot,TypeScript,101,7,169.0,1.0
24,30,bitsoex/bitso-java,JavaScript,36,30,414.0,17.0
25,27,Fu-Jie/openwebui-extensions,Python,112,9,802.0,6.0
26,27,smallnest/langgraphgo,Go,209,34,328.0,10.0
27,26,hainamchung/agent-assistant,Python,36,14,13.0,1.0
28,24,meta-pytorch/OpenEnv,Python,1250,199,1372.0,60.0
29,24,snakeying/Textum,Python,41,4,103.0,1.0
30,24,tidbcloud/tidbcloud-cli,Go,10,3,298.0,8.0
31,24,vedantb2/eva,TypeScript,33,2,1384.0,3.0
32,24,wshobson/agents,Python,31239,3426,242.0,41.0
33,22,dp-archive/archive,Python,1111,97,195.0,2.0
34,20,DataDog/lading,Rust,94,14,1481.0,28.0
35,20,bifrost-proxy/bifrost,Rust,12,0,394.0,3.0
36,18,OthmanAdi/planning-with-files,Python,16064,1476,155.0,22.0
37,18,udecode/better-convex,TypeScript,379,28,393.0,9.0
38,16,attilaszasz/sdd-pilot,TypeScript,37,1,135.0,1.0
39,16,pymc-labs/decision-hub,Python,37,3,449.0,6.0
40,16,thc1006/nephoran-intent-operator,Go,16,3,1013.0,5.0
41,15,tutur3u/platform,TypeScript,48,25,14626.0,30.0
42,14,JinHo-von-Choi/memento-mcp,JavaScript,74,13,162.0,1.0
43,12,2025Emma/vibe-coding-cn,Python,14463,1594,130.0,2.0
44,12,IceHugh/btc-connect,TypeScript,18,7,73.0,1.0
45,12,cadamsdev/restman,TypeScript,33,1,76.0,1.0
46,12,canonical/copilot-collections,Python,16,9,56.0,10.0
47,12,fpindej/netrock,C#,205,21,340.0,3.0
48,12,gitarbor/gitarbor-tui,TypeScript,37,3,149.0,1.0
49,12,j5ik2o/okite-ai,Python,73,2,248.0,2.0
50,12,nex-agi/NexAU,Python,50,10,357.0,17.0
51,12,norahe0304-art/30x-seo,Python,11,5,25.0,1.0
52,12,ubie-oss/terraform-provider-lightdash,Go,17,4,350.0,4.0
53,12,victorGPT/vibeusage,JavaScript,102,7,1237.0,1.0
54,10,Peiiii/skild,TypeScript,103,7,217.0,3.0
55,10,eddiebelaval/squire,Python,14,3,13.0,1.0
56,10,guendev/vue3-apollo,TypeScript,12,1,376.0,2.0
57,10,netease-youdao/LobsterAI,TypeScript,3938,453,370.0,18.0
58,9,viames/pair,PHP,10,2,500.0,3.0
59,8,Agents2AgentsAI/ata,Rust,67,3,4843.0,374.0
60,8,CraftOS-dev/CraftBot,Python,55,5,494.0,4.0
61,8,EnvyGithub/codex,Rust,14,2,3401.0,338.0
62,8,GoogleCloudPlatform/gke-mcp,Go,130,53,137.0,21.0
63,8,QoreDB/QoreDB,TypeScript,12,0,187.0,2.0
64,8,ScriptedAlchemy/codex-native,Rust,17,7,4009.0,344.0
65,8,artsy/eigen,TypeScript,3762,592,27660.0,161.0
66,8,baotoq/micro-commerce,C#,93,25,1271.0,2.0
67,8,iOfficeAI/AionUi,TypeScript,18771,1469,2966.0,57.0
68,8,marigold-ui/marigold,TypeScript,137,11,4605.0,27.0
69,8,mco-org/mco,Python,194,19,83.0,1.0
70,8,openclix/openclix,TypeScript,31,1,50.0,2.0
71,7,Agents365-ai/video-podcast-maker,TypeScript,175,18,116.0,1.0
72,6,ArcaneOrion/Alice-Single,Python,13,2,75.0,1.0
73,6,OriNachum/autonomous-intelligence,Python,220,15,445.0,2.0
74,6,Peiiii/AgentVerse,TypeScript,281,73,419.0,3.0
75,6,cladam/tbdflow,Rust,39,2,442.0,2.0
76,6,coveo/ui-kit,TypeScript,65,42,6665.0,103.0
77,6,dallay/agentsync,Rust,15,3,360.0,9.0
78,6,drpedapati/raycast-script-creator,JavaScript,20,0,2.0,1.0
79,6,getsentry/sentry-javascript,TypeScript,8602,1756,13437.0,670.0
80,6,michaeldcanady/servicenow-sdk-go,Go,28,9,975.0,8.0
81,6,mikeOnBreeze/cc-crossbeam,Python,145,53,69.0,1.0
82,6,mrvladd-d/memobank,JavaScript,31,8,3.0,1.0
83,6,onsails/cc,Python,18,0,56.0,1.0
84,6,s-hiraoku/vscode-sidebar-terminal,TypeScript,12,7,1657.0,6.0
85,6,senweaver/senweaver-ide,TypeScript,15,0,63.0,4.0
86,6,timrogers/iata-code-decoder-api,TypeScript,26,10,1694.0,3.0
87,5,AytuncYildizli/reprompter,JavaScript,19,3,76.0,4.0
88,4,ChicagoHAI/NeuriCo,Python,28,2,146.0,4.0
89,4,DataDog/stratus-red-team,Go,2277,288,816.0,41.0
90,4,EvoMap/evolver,JavaScript,1546,173,229.0,7.0
91,4,Kurarion/Genshin-Calc,TypeScript,72,8,370.0,2.0
92,4,LottieFiles/dotlottie-web,TypeScript,467,29,424.0,22.0
93,4,MODSetter/SurfSense,Python,13255,1192,3697.0,56.0
94,4,OniReimu/Ageaf,TypeScript,11,0,166.0,1.0
95,4,Remy349/shadcn-ui-multi-form,TypeScript,58,3,405.0,1.0
96,4,RipeSeed/rs-tunnel,TypeScript,12,2,22.0,2.0
97,4,Soju06/codex-lb,Python,190,43,261.0,21.0
98,4,TheSoftwareHouse/copilot-collections,TypeScript,151,4,237.0,16.0
99,4,TippingGame/F8Framework,C#,840,130,421.0,4.0
100,4,TippingGame/F8FrameworkDemo,C#,38,10,155.0,1.0
101,4,akash3444/shadcn-ui-blocks,TypeScript,587,49,307.0,7.0
102,4,asklokesh/loki-mode,Python,728,146,554.0,5.0
103,4,bytedance/deer-flow,Python,30569,3694,1608.0,124.0
104,4,countbot-ai/CountBot,Python,208,35,82.0,3.0
105,4,duongductrong/cursor-kit,TypeScript,13,1,113.0,2.0
106,4,ginlix-ai/LangAlpha,Python,52,7,699.0,7.0
107,4,godmakereth/vibe-coding-tw,Python,30,3,96.0,4.0
108,4,irahardianto/qurio,Go,11,5,114.0,1.0
109,4,jaredpalmer/agentik,TypeScript,16,1,74.0,2.0
110,4,jonathan-vella/azure-agentic-infraops,Python,164,61,492.0,6.0
111,4,jonathan-vella/azure-agentic-infraops-accelerator,Python,16,16,24.0,4.0
112,4,keenthemes/reui,TypeScript,2670,107,175.0,21.0
113,4,lorehq/lore,Go,22,2,92.0,1.0
114,4,nilenso/context-viewer,TypeScript,56,2,190.0,2.0
115,4,openstatusHQ/data-table-filters,TypeScript,1882,114,126.0,9.0
116,4,praveenjuge/teak,TypeScript,13,1,972.0,7.0
117,4,raphaelmansuy/edgequake,Rust,1443,148,127.0,7.0
118,4,rejot-dev/fragno,TypeScript,41,3,898.0,6.0
119,4,rm2thaddeus/Pixel_Detective,Python,16,3,337.0,1.0
120,4,shadcn-ui/ui,TypeScript,109524,8180,1853.0,482.0
121,4,sigle/sigle,TypeScript,483,84,1235.0,10.0
122,4,simnova/sharethrift,TypeScript,19,0,1841.0,21.0
123,4,t0dorakis/murmur,TypeScript,20,0,88.0,1.0
124,4,tadashi-aikawa/obsidian-another-quick-switcher,TypeScript,372,22,1024.0,8.0
125,4,tercumantanumut/selene,TypeScript,146,28,1032.0,2.0
126,4,thebearwithabite/ai-file-organizer,Python,30,4,252.0,4.0
127,4,trsoliu/mini-wiki,Python,46,1,29.0,1.0
128,4,vana-com/personal-server,TypeScript,113,24,196.0,6.0
129,4,vobase/vobase,TypeScript,25,3,285.0,3.0
130,4,vscarpenter/gsd-task-manager,TypeScript,14,3,225.0,6.0
131,4,withastro/flue,TypeScript,145,5,31.0,2.0
132,4,xuey490/project,PHP,12,0,773.0,1.0
133,3,DenisSergeevitch/youtube-poop-video-maker,Python,28,0,5.0,1.0
134,3,ImGoodBai/goodable,TypeScript,161,34,130.0,3.0
135,3,Yehonatan-Bar/ClaUI,TypeScript,14,1,207.0,1.0
136,3,cluesmith/codev,TypeScript,247,34,2515.0,3.0
137,3,dannote/figma-use,TypeScript,495,32,310.0,1.0
138,3,definableai/definable.ai,Python,20,2,177.0,2.0
139,3,j5ik2o/oni-comb-rs,Rust,42,0,4288.0,5.0
140,3,microsoft/agent-framework,Python,7929,1312,1683.0,106.0
141,3,pacphi/sindri,Rust,11,6,386.0,3.0
142,3,poteto/noodle,Go,119,6,1396.0,2.0
143,2,Cratis/Chronicle,C#,38,8,15832.0,16.0
144,2,EvoScientist/EvoScientist,Python,29,0,343.0,6.0
145,2,EvotecIT/PSPublishModule,C#,41,13,2079.0,5.0
146,2,GovTechSG/sgds-web-component,TypeScript,12,5,3303.0,18.0
147,2,IJONIS/geo-lint,TypeScript,15,1,29.0,1.0
148,2,Ibrahim-3d/conductor-orchestrator-superpowers,Python,275,30,18.0,1.0
149,2,ImCa0/just-laws,Python,710,88,125.0,5.0
150,2,ReinaMacCredy/maestro,TypeScript,23,3,562.0,3.0
151,2,Sunwood-ai-labs/SourceSage,Python,72,1,558.0,4.0
152,2,UKGovernmentBEIS/inspect_ai,Python,1828,426,4890.0,193.0
153,2,UnicomAI/wanwu,Go,3959,79,3767.0,53.0
154,2,VisActor/VBI,TypeScript,22,5,1870.0,14.0
155,2,VoltAgent/voltagent,TypeScript,6723,656,1652.0,61.0
156,2,WebMCP-org/npm-packages,TypeScript,34,5,433.0,5.0
157,2,axone-protocol/contracts,Rust,123,19,2210.0,17.0
158,2,chu2bard/pinion-os,TypeScript,356,28,175.0,1.0
159,2,dagster-io/erk,Python,74,7,4089.0,4.0
160,2,datascienceworld-kan/vinagent,Python,71,11,186.0,4.0
161,2,didi/mpx,JavaScript,3878,391,12824.0,121.0
162,2,eaplatanios/ryft,Rust,10,1,32.0,1.0
163,2,esceptico/ntrp,Python,56,9,378.0,3.0
164,2,fabianocruz/assistente-compras-ifood,Python,24,4,4.0,2.0
165,2,finos/morphir,Rust,184,64,4246.0,61.0
166,2,foxminchan/BookWorm,C#,477,62,562.0,7.0
167,2,goplus/llcppg,Go,29,11,863.0,10.0
168,2,hAcKlyc/MyAgents,TypeScript,112,21,882.0,2.0
169,2,hdkiller/coach,TypeScript,41,5,3547.0,7.0
170,2,hect0x7/jmcomic-ai,Python,17,2,10.0,1.0
171,2,j-r-beckett/SpeedReader,C++,10,1,677.0,1.0
172,2,jerrywu001/vue3-toastify,Python,541,48,178.0,12.0
173,2,justinlietz93/Perfect_Prompts,Python,18,1,220.0,2.0
